name,rating,review_count,price,categories,address,latitude,longitude,yelp_url,score,price_level
Molly Tea,4.5,1547,$$,"Bubble Tea, Coffee & Tea","425 W Valley Blvd, Ste 101-102, San Gabriel, CA 91776",34.0796986,-118.10643874560476,https://www.yelp.com/biz/molly-tea-san-gabriel-3?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,33.05123574367353,Medium
BenGong’s Tea,4.7,362,$$,"Bubble Tea, Coffee & Tea, Beverage Store","500 E Valley Blvd, San Gabriel, CA 91776",34.07967107399442,-118.0945345,https://www.yelp.com/biz/bengong-s-tea-san-gabriel-5?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,27.7036933210448,Medium
Chicha San Chen,4.0,1326,$,"Bubble Tea, Taiwanese, Tea Rooms","301 W Valley Blvd, Ste 116, San Gabriel, CA 91776",34.08006526086621,-118.10435566835947,https://www.yelp.com/biz/chicha-san-chen-san-gabriel-13?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,28.76270413732883,Low
Formosa Aroma,4.3,164,$$,"Bubble Tea, Tea Rooms, Juice Bars & Smoothies","5570 Rosemead Blvd, Unit 130, Temple City, CA 91780",34.10112,-118.07287,https://www.yelp.com/biz/formosa-aroma-temple-city-2?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,21.955565537772493,Medium
3Catea,3.9,317,$$,Bubble Tea,"432 E Valley Blvd, Ste D, San Gabriel, CA 91776",34.07964,-118.09497,https://www.yelp.com/biz/3catea-san-gabriel-5?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,22.47200039284269,Medium
Torotea,4.4,397,,"Coffee & Tea, Tea Rooms, Bubble Tea","2322 Huntington Dr, San Marino, CA 91108",34.122233,-118.104203,https://www.yelp.com/biz/torotea-san-marino?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,26.340388823251526,Unknown
ALittle Tea,3.8,308,$,Bubble Tea,"158 W Valley Blvd, San Gabriel, CA 91776",34.07940524645661,-118.1021386272315,https://www.yelp.com/biz/alittle-tea-san-gabriel?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,21.786696852211435,Low
UG Tea,4.1,43,$$,"Bubble Tea, Coffee & Tea","308 W Valley Blvd, San Gabriel, CA 91776",34.079251,-118.103936,https://www.yelp.com/biz/ug-tea-san-gabriel-3?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,15.515177499064869,Medium
Yi Fang Taiwan Fruit Tea,4.0,529,$$,"Bubble Tea, Tea Rooms, Juice Bars & Smoothies","534 E Valley Blvd, Unit 6, San Gabriel, CA 91776",34.0796807,-118.0934797,https://www.yelp.com/biz/yi-fang-taiwan-fruit-tea-san-gabriel?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,25.09150802618467,Medium
Formosa Aroma,4.2,555,$$,"Bubble Tea, Tea Rooms, Juice Bars & Smoothies","560 W Main St, Ste B, Alhambra, CA 91801",34.0921154395301,-118.13241251592623,https://www.yelp.com/biz/formosa-aroma-alhambra?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,26.547226835852445,Medium
Motto Tea Cafe,4.0,709,$$,"Bubble Tea, Desserts, Pancakes","250 W Valley Blvd, Unit A, San Gabriel, CA 91776",34.07931461382138,-118.10360040340724,https://www.yelp.com/biz/motto-tea-cafe-san-gabriel?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,26.261059880141445,Medium
Chun Yang Tea - San Gabriel,4.7,272,$$,"Tea Rooms, Bubble Tea, Coffee & Tea","311 E Valley Blvd, Ste  111, San Gabriel, CA 91776",34.080402,-118.096597,https://www.yelp.com/biz/chun-yang-tea-san-gabriel-san-gabriel?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,26.36451743736931,Medium
Wushiland Boba,3.7,890,$$,"Coffee & Tea, Bubble Tea, Juice Bars & Smoothies","140 W Valley Blvd, Ste 104, San Gabriel, CA 91776",34.078851312638804,-118.102142,https://www.yelp.com/biz/wushiland-boba-san-gabriel?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,25.131674381641993,Medium
Lucky FruiTea,4.4,122,$$,"Bubble Tea, Juice Bars & Smoothies","737 E Valley Blvd, San Gabriel, CA 91776",34.080687,-118.09126,https://www.yelp.com/biz/lucky-fruitea-san-gabriel?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,21.173611163638636,Medium
ChaTraMue Original Thai Tea,4.3,235,$$,"Bubble Tea, Coffee & Tea, Desserts","8450 E Valley Blvd, Ste 107, Rosemead, CA 91770",34.07989770548422,-118.08450647359862,https://www.yelp.com/biz/chatramue-original-thai-tea-rosemead?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,23.494476761610123,Medium
Tea Maru,3.9,837,$$,"Bubble Tea, Tea Rooms","709 W Las Tunas Dr, San Gabriel, CA 91776",34.10278201269166,-118.11047145594031,https://www.yelp.com/biz/tea-maru-san-gabriel-11?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,26.250970591880122,Medium
Factory Tea Bar - San Gabriel,3.7,2137,$$,"Bubble Tea, Karaoke, Arcades","323 S Mission Dr, San Gabriel, CA 91776",34.09756,-118.10917,https://www.yelp.com/biz/factory-tea-bar-san-gabriel-san-gabriel?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,28.370216538864465,Medium
ICI Tea Drinks,4.7,158,$$,Bubble Tea,"301 W Valley Blvd, Ste 102, San Gabriel, CA 91776",34.07986541478172,-118.1039511217139,https://www.yelp.com/biz/ici-tea-drinks-san-gabriel?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,23.823849750435087,Medium
BoBaPOP Tea Bar,4.1,714,$$,"Coffee & Tea, Bubble Tea","625 E Valley Blvd, Ste L, San Gabriel, CA 91776",34.080493,-118.091991,https://www.yelp.com/biz/bobapop-tea-bar-san-gabriel-3?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,26.946358425045428,Medium
R&B Tea,4.7,554,$$,"Bubble Tea, Coffee & Tea","8526 Valley Blvd, Ste 110, Rosemead, CA 91770",34.07997615937083,-118.08267607418078,https://www.yelp.com/biz/r-and-b-tea-rosemead-2?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,29.699150134608242,Medium
Wushiland Boba,4.3,90,$$,Bubble Tea,"150 E Main St, Ste 110, Alhambra, CA 91801",34.095471,-118.125204,https://www.yelp.com/biz/wushiland-boba-alhambra?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,19.396695878022452,Medium
Heytea,3.9,211,,"Bubble Tea, Coffee & Tea","500 N Atlantic Blvd, Ste 177, Monterey Park, CA 91754",34.06817420513761,-118.13416802677662,https://www.yelp.com/biz/heytea-monterey-park-4?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,20.890686471220846,Unknown
Half & Half Tea Express,3.5,2920,$$,"Juice Bars & Smoothies, Bubble Tea","141 N Atlantic Blvd, Ste 112, Monterey Park, CA 91754",34.063556775734,-118.134433969535,https://www.yelp.com/biz/half-and-half-tea-express-monterey-park?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,27.928884558357094,Medium
Bopomofo Cafe,4.3,2338,$$,"Bubble Tea, Cafes, American","841 W Las Tunas Dr, San Gabriel, CA 91776",34.1022936,-118.1118094,https://www.yelp.com/biz/bopomofo-cafe-san-gabriel?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,33.35715869631197,Medium
Sunright Tea Studio - San Gabriel,3.9,194,$$,Bubble Tea,"1245 S San Gabriel Blvd, San Gabriel, CA 91776",34.08464,-118.09106,https://www.yelp.com/biz/sunright-tea-studio-san-gabriel-san-gabriel?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,20.564698278398613,Medium
Moncha Cafe,4.6,74,,"Bubble Tea, Coffee & Tea","8547 Valley Blvd, Unit B, Rosemead, CA 91770",34.080893,-118.082458,https://www.yelp.com/biz/moncha-cafe-rosemead?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,19.860445322267026,Unknown
Pawfect Drinks,3.8,270,$,"Bubble Tea, Juice Bars & Smoothies, Ice Cream & Frozen Yogurt","113 W Las Tunas Dr, Ste 101, San Gabriel, CA 91776",34.102999,-118.100579,https://www.yelp.com/biz/pawfect-drinks-san-gabriel-4?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,21.28805151934286,Low
3CAT Handcrafted Beverage,4.3,263,$$,"Bubble Tea, Tea Rooms, Juice Bars & Smoothies","400 S Baldwin Ave, Ste 2285, Arcadia, CA 91007",34.134923,-118.050996,https://www.yelp.com/biz/3cat-handcrafted-beverage-arcadia-2?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,23.976581143529156,Medium
L2 Tea Club,4.1,193,$$,Bubble Tea,"1635 S San Gabriel Blvd, Unit D, San Gabriel, CA 91776",34.0789,-118.09203,https://www.yelp.com/biz/l2-tea-club-san-gabriel?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,21.598218452159642,Medium
CoCo Fresh Tea & Juice,3.8,54,$$,"Coffee & Tea, Bubble Tea","927 E Las Tunas Dr, Ste C, San Gabriel, CA 91776",34.10388804802439,-118.08761567830706,https://www.yelp.com/biz/coco-fresh-tea-and-juice-san-gabriel-2?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,15.22786610388339,Medium
Tea Brick,3.9,1918,$$,"Tea Rooms, Bubble Tea, Juice Bars & Smoothies","501 W Garvey Ave, Ste 105, Monterey Park, CA 91754",34.06274,-118.12961,https://www.yelp.com/biz/tea-brick-monterey-park?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,29.48228203443003,Medium
Meet Tea,3.8,1301,$$,"Bubble Tea, Tea Rooms, Desserts","5817 Rosemead Blvd, Temple City, CA 91780",34.10472832652402,-118.07394942870768,https://www.yelp.com/biz/meet-tea-temple-city?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,27.252295926520354,Medium
The Tea,4.2,414,$$,"Coffee & Tea, Bubble Tea, Juice Bars & Smoothies","221 N Atlantic Blvd, Monterey Park, CA 91754",34.065086,-118.134763,https://www.yelp.com/biz/the-tea-monterey-park-2?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,25.318769784968932,Medium
Bearology,4.1,567,$$,"Juice Bars & Smoothies, Bubble Tea","5805 Rosemead Blvd, Temple City, CA 91780",34.1053812,-118.0745678,https://www.yelp.com/biz/bearology-temple-city?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,26.00269781675672,Medium
YOTEA ,4.2,276,$$,"Bubble Tea, Coffee & Tea, Juice Bars & Smoothies","8449 Garvey Ave, Ste 104, Rosemead, CA 91770",34.06283484307185,-118.0846739,https://www.yelp.com/biz/yotea-rosemead?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,23.620873525986823,Medium
Cha Express,3.7,187,$,"Bubble Tea, Coffee & Tea, Cafes","35 Valley Blvd, Ste C, Alhambra, CA 91801",34.07884171332672,-118.1238918455586,https://www.yelp.com/biz/cha-express-alhambra?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,19.374835262470814,Low
Twinkle Tea - Alhambra,3.9,1215,$$,"Coffee & Tea, Juice Bars & Smoothies, Bubble Tea","406 E Valley Blvd, Alhambra, CA 91801",34.0787401922217,-118.117984700771,https://www.yelp.com/biz/twinkle-tea-alhambra-alhambra-5?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,27.702956043851838,Medium
Boba Ave Express,4.5,3152,$$,"Bubble Tea, Juice Bars & Smoothies, Tea Rooms","1437 S Baldwin Ave, Arcadia, CA 91007",34.1227842685107,-118.0554061,https://www.yelp.com/biz/boba-ave-express-arcadia?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,36.252493467952775,Medium
HOJI Tea Community,4.3,386,$,"Bubble Tea, Cafes, Tea Rooms","1271 East Green St, Pasadena, CA 91106",34.144762,-118.1241937,https://www.yelp.com/biz/hoji-tea-community-pasadena?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,25.62122618002806,Low
Xing Fu Tang,3.5,476,$$,Bubble Tea,"1468 E Valley Blvd, Alhambra, CA 91801",34.079004220146516,-118.10864314116633,https://www.yelp.com/biz/xing-fu-tang-alhambra?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,21.586307718109197,Medium
Happy Lemon,4.4,93,$$,"Bubble Tea, Coffee & Tea, Juice Bars & Smoothies","1411 S Garfield Ave, Ste 101, Alhambra, CA 91801",34.07784,-118.1231945,https://www.yelp.com/biz/happy-lemon-alhambra-3?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,19.990497041988018,Medium
Gotcha Tea House,4.1,425,$$,"Tea Rooms, Bubble Tea","3524 Rosemead Blvd, Rosemead, CA 91770",34.07318460343258,-118.07129719678396,https://www.yelp.com/biz/gotcha-tea-house-rosemead-2?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,24.823201319704417,Medium
One Tea,4.7,207,,Bubble Tea,"9653 East Las Tunas Dr, Temple City, CA 91780",34.10724,-118.05908,https://www.yelp.com/biz/one-tea-temple-city?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,25.086428974596195,Unknown
Chicha San Chen,4.3,46,$$$,"Bubble Tea, Tea Rooms","629 W Duarte Rd, Arcadia, CA 91007",34.126753,-118.052684,https://www.yelp.com/biz/chicha-san-chen-arcadia?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,16.55563468735325,High
Tastea,4.0,504,$$,"Coffee & Tea, Bubble Tea, Juice Bars & Smoothies","349 E Main St, Ste 104, Alhambra, CA 91801",34.098441,-118.123225,https://www.yelp.com/biz/tastea-alhambra-3?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,24.89823371710144,Medium
Summerfield Tea Bar,3.5,182,$,"Bubble Tea, Coffee & Tea, Salad","9021 Valley Blvd, Rosemead, CA 91770",34.0812,-118.07207,https://www.yelp.com/biz/summerfield-tea-bar-rosemead?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,18.233201534944975,Low
Sunright Tea Studio - Monterey Park,4.1,426,$$,"Bubble Tea, Coffee & Tea, Juice Bars & Smoothies","141 N Atlantic Blvd, Ste 107, Monterey Park, CA 91754",34.064093,-118.13447519805077,https://www.yelp.com/biz/sunright-tea-studio-monterey-park-monterey-park-2?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,24.832814454237358,Medium
Chicha San Chen,4.3,173,$,"Bubble Tea, Taiwanese, Tea Rooms","30 W Main St, Alhambra, CA 91801",34.094594219132496,-118.12734127000984,https://www.yelp.com/biz/chicha-san-chen-alhambra-13?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,22.183937786622476,Low
Moo Tea,4.3,302,$$,"Tea Rooms, Bubble Tea, Juice Bars & Smoothies","1457 E Valley Blvd, Alhambra, CA 91801",34.079484,-118.108773,https://www.yelp.com/biz/moo-tea-alhambra-3?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,24.569051063690285,Medium
Fujiwara Tofu Cafe,3.9,296,$,"Bubble Tea, Themed Cafes","9216 Flair Dr, Unit B, El Monte, CA 91731",34.0716,-118.06762,https://www.yelp.com/biz/fujiwara-tofu-cafe-el-monte-2?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,22.20555534133053,Low
Half & Half Good Old Time,3.9,393,$$,"Taiwanese, Bubble Tea, Noodles","704 W Las Tunas Dr, Ste E2, San Gabriel, CA 91776",34.10208,-118.10987,https://www.yelp.com/biz/half-and-half-good-old-time-san-gabriel?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,23.30776854626194,Medium
Yi Fang Taiwan Fruit Tea,4.2,162,$,"Bubble Tea, Desserts, Waffles","733 W Naomi Ave, Ste I, Arcadia, CA 91007",34.124947,-118.05653880362686,https://www.yelp.com/biz/yi-fang-taiwan-fruit-tea-arcadia-6?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,21.393750843388403,Low
Bobacraft Cafe,4.1,557,$$,Bubble Tea,"410 W Main St, Ste 100, Alhambra, CA 91801",34.092973,-118.131175,https://www.yelp.com/biz/bobacraft-cafe-alhambra?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,25.92987174576337,Medium
